X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
113.7481767,-8.348615,-6,2023/04/06 05:46:06.298+00,,,Point 1,,Tr3gw,,,,,,,,Waypoint,,,,8.2,,,,
113.7482467,-8.35024,24,2023/04/06 05:48:19.608+00,,,Point 5,,Tr1,,,,,,,,Waypoint,,,,5.9,,,,
113.7500217,-8.3499867,46,2023/04/06 05:50:42.860+00,,,Point 10,,Tr1,,,,,,,,Waypoint,,,,3.8,,,,
113.7505533,-8.3499917,50,2023/04/06 05:51:06.577+00,,,Point 11,,Tr1,,,,,,,,Waypoint,,,,4.2,,,,
113.7510883,-8.35004,56,2023/04/06 05:51:34.569+00,,,Point 12,,Tr2gw,,,,,,,,Waypoint,,,,4.3,,,,
113.7513633,-8.3501667,56,2023/04/06 05:51:58.368+00,,,Point 13,,Tr7,,,,,,,,Waypoint,,,,4.9,,,,
113.7481467,-8.3486283,-5,2023/04/06 05:46:47.088+00,,,Point 2,,Tr1,,,,,,,,Waypoint,,,,7.2,,,,
113.7481467,-8.3486283,-5,2023/04/06 05:47:20.294+00,,,Point 3,,Tr1,,,,,,,,Waypoint,,,,7.2,,,,
113.748165,-8.3498383,24,2023/04/06 05:47:53.399+00,,,Point 4,,Tr2gw,,,,,,,,Waypoint,,,,11.2,,,,
113.7485083,-8.3502017,25,2023/04/06 05:48:44.026+00,,,Point 6,,Tr1,,,,,,,,Waypoint,,,,6.2,,,,
113.7488167,-8.3500733,36,2023/04/06 05:49:10.697+00,,,Point 7,,Tr1,,,,,,,,Waypoint,,,,5.7,,,,
113.7494333,-8.3500383,44,2023/04/06 05:49:49.093+00,,,Point 8,,Tr1,,,,,,,,Waypoint,,,,3.7,,,,
113.74971,-8.3497833,45,2023/04/06 05:50:16.696+00,,,Point 9,,Tr1,,,,,,,,Waypoint,,,,3.6,,,,
