Latitude;Longitude;Label;Sudut (derajat);Kategori
-825.565;11.399.274;TRÁFO EX;;
-825.125;11.399.259;TM8X;13.4;
-825.042;11.399.236;T2L;17.97;
-824.999;11.399.238;T3L;3.64;
-824.963;11.399.242;T4L;2.41;
-824.919;11.399.245;T5L;0.0;
-824.875;11.399.248;T6L;1.68;
-824.824;11.399.253;T7L;0.62;
-824.778;11.399.257;T8L;2.56;
-82.473;11.399.259;T9L;2.56;
-824.684;11.399.263;T10L;4.03;
-82.464;1.139.927;T11L;8.95;
-824.597;1.139.927;T12L;4.71;
-824.549;11.399.274;T13L;0.43;
-824.505;11.399.278;T14L;6.05;
-824.465;11.399.286;T15L;18.69;
-824.434;11.399.304;TIC1L;7.34;
-824.403;11.399.317;C17L;9.66;
-82.437;11.399.338;C18L;87.33;
-82.435;11.399.309;C19L;134.53;
-824.345;11.399.336;C20R;8.02;
-824.335;11.399.366;C21R;37.23;
-824.348;11.399.405;C22L;98.62;
-824.373;11.399.392;C23R;60.65;
-8.244;1.139.941;C24R;10.43;
-824.435;11.399.425;C25R;135.42;
-8.244;11.399.439;235;0.35;
-824.372;1.139.945;C27LL;9.99;
-824.341;11.399.469;C28L;2.29;
-824.307;11.399.488;C29L;3.27;
-824.272;11.399.505;C30L;2.46;
-824.242;11.399.518;C31L;6.82;
-824.205;11.399.529;C32L;28.31;
-824.178;11.399.556;C33L;2.2;
-824.151;11.399.581;C34L;6.87;
-824.122;11.399.602;C35L;11.8;
-824.102;11.399.624;C36L;11.19;
-824.075;11.399.644;C37L;7.42;
-824.047;11.399.671;C38L;2.2;
-824.019;11.399.696;C39L;4.41;
-823.995;11.399.721;C40L;5.93;
-823.969;11.399.743;C41L;0.68;
-823.939;11.399.769;C42L;3.03;
-823.912;1.139.979;C43L;20.76;
-823.876;11.399.801;C44L;14.61;
-823.842;11.399.822;C45L;19.03;
-823.815;11.399.828;C46L;3.55;
-82.377;11.399.841;C47L;45.05;
-823.753;11.399.872;C48L;15.03;
-823.731;11.399.895;C49L;5.07;
-823.711;1.139.992;C50R;20.13;
-823.673;11.399.943;C51R;11.74;
-823.644;1.139.997;C52R;12.27;
-823.617;11.399.986;C53R;3.51;
-823.576;11.400.007;C54R;4.68;
-823.547;11.400.025;C55R;17.23;
-823.521;11.400.055;C56R;40.35;
-823.481;11.400.061;C57R;3.41;
-823.448;11.400.068;C58R;13.19;
-823.412;11.400.085;C59R;8.75;
-823.378;11.400.108;C60R;1.6;
-823.345;11.400.129;C61R;13.95;
-823.315;11.400.139;C62R;15.62;
-823.272;11.400.141;C63R;18.02;
-823.251;11.400.149;C64R;38.38;
-823.232;11.400.181;C65R;15.38;
-823.204;11.400.208;C66R;20.76;
-823.186;11.400.246;C67R;18.78;
-823.156;11.400.277;C68R;16.65;
-823.131;11.400.291;C69R;23.1;
-823.084;11.400.352;C70R;37.71;
-823.057;11.400.359;C71R;14.78;
-823.018;11.400.381;C72R;3.64;
-822.989;11.400.395;C73R;0.79;
-822.949;11.400.415;C74R;5.57;
-822.902;11.400.433;C75R;7.07;
-822.872;11.400.449;C76L;43.02;
-822.861;11.400.481;C77L;44.52;
-822.823;114.005;C78L;12.37;
-822.802;11.400.517;C79L;11.72;
-822.784;11.400.539;MVTIC4L;2.91;
-822.756;11.400.577;T81L;15.53;
-822.719;11.400.606;T82L;3.81;
-82.268;11.400.641;T83L;3.9;
-822.648;11.400.666;T84L;5.2;
-822.615;11.400.697;T85L;6.33;
-822.586;11.400.731;T86L;5.34;
-822.567;11.400.758;T87TRAFO;1.34;
-82.255;11.400.781;TM4L;8.54;
-822.532;11.400.799;R1L;16.34;
-822.499;11.400.817;R2L;2.34;
-822.469;11.400.835;R3L;2.77;
-822.441;1.140.085;R4L;3.02;
-822.408;1.140.087;R5L;21.61;
-822.383;11.400.903;R6L;4.69;
-822.362;11.400.936;R7L;7.36;
-822.337;11.400.966;TR3L;;
